序号,卡口位置,车型,卡点编号,卡点名称,流向,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,鹿城区,大型汽车,330302000022,市府路府东路口,由西向东,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5
1,鹿城区,大型汽车,330302000023,市府路惠民路口,由东向西,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,33,30,21,8,13,10,3
1,鹿城区,大型汽车,330302000023,市府路惠民路口,由北向南,2,0,1,3,5,14,28,31,18,30,23,25,27,26,22,22,26,21,19,9,4,2,5,5
1,鹿城区,大型汽车,330302000023,市府路惠民路口,由南向北,5,5,2,4,3,5,26,30,26,24,24,26,19,22,28,18,20,21,27,20,8,3,9,0
1,鹿城区,大型汽车,330302000023,市府路惠民路口,由西向东,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,44,41,28,17,22,7
1,鹿城区,大型汽车,330302000024,飞霞路学院路口,由东向西,0,0,1,1,3,27,55,75,84,69,73,69,64,62,72,61,64,59,66,29,33,23,20,5
1,鹿城区,大型汽车,330302000024,飞霞路学院路口,由北向南,5,4,1,4,6,10,44,60,62,54,58,51,51,57,45,59,58,37,53,44,32,21,8,10
1,鹿城区,大型汽车,330302000024,飞霞路学院路口,由西向东,0,0,0,1,0,0,0,1,0,0,1,4,1,0,0,1,0,0,2,0,0,1,0,0
1,鹿城区,大型汽车,330302000025,YD汤家桥路机场路路口,由东向西,19,10,8,6,13,29,50,45,44,53,56,61,54,49,46,49,56,38,44,40,19,28,21,18
1,鹿城区,大型汽车,330302000025,YD汤家桥路机场路路口,由北向南,7,3,0,0,8,11,30,50,14,22,30,23,31,26,29,24,23,21,20,15,15,8,8,8
1,鹿城区,大型汽车,330302000025,YD汤家桥路机场路路口,由南向北,10,3,2,2,7,11,46,40,14,36,46,56,47,49,49,50,31,32,31,32,28,20,15,12
1,鹿城区,大型汽车,330302000025,YD汤家桥路机场路路口,由西向东,7,3,4,12,2,6,59,75,45,82,87,77,82,77,79,85,93,57,60,64,51,28,28,19
1,鹿城区,大型汽车,330302000025,YD汤家桥路机场路路口,由西向北,2,1,1,1,2,1,11,33,17,18,15,15,21,19,15,18,21,15,15,10,15,10,10,7
1,鹿城区,大型汽车,330302000027,锦江路府东路口,由东向西,2,0,1,0,2,3,8,11,8,7,8,7,7,8,8,8,9,16,8,9,0,0,3,5
1,鹿城区,大型汽车,330302000027,锦江路府东路口,由北向南,7,8,3,8,2,3,26,35,18,13,15,9,7,7,14,17,14,12,7,14,15,6,9,8
1,鹿城区,大型汽车,330302000027,锦江路府东路口,由南向北,2,0,0,0,0,3,12,17,22,16,13,10,16,8,13,10,12,13,16,8,9,12,7,3
1,鹿城区,大型汽车,330302000027,锦江路府东路口,由西向东,6,7,6,3,4,5,9,5,12,23,13,12,13,8,13,16,22,37,15,12,6,1,6,2
1,鹿城区,大型汽车,330302000028,锦江路府西路口,由东向西,1,0,0,2,4,3,13,18,21,22,14,15,10,9,16,17,24,25,16,16,9,1,2,0
1,鹿城区,大型汽车,330302000028,锦江路府西路口,由北向南,0,3,0,0,1,2,7,1,3,2,0,2,1,3,1,1,3,1,1,4,3,2,0,2
1,鹿城区,大型汽车,330302000028,锦江路府西路口,由西向东,0,0,0,0,0,3,14,32,21,27,23,13,23,15,20,12,15,19,14,15,8,4,4,3
1,鹿城区,大型汽车,330302000030,车站大道黎明侨村,由北向南,21,17,10,6,11,10,43,84,80,86,88,69,81,82,74,86,96,85,97,82,52,36,36,18
1,鹿城区,大型汽车,330302000030,车站大道黎明侨村,由南向北,6,1,3,0,0,4,26,65,91,78,60,68,57,53,73,66,83,93,75,50,33,24,18,9
1,鹿城区,大型汽车,330302000032,瓯江一桥桥面,由北向南,22,14,10,16,11,28,38,42,41,51,49,48,40,56,68,52,58,51,47,28,32,22,19,22
1,鹿城区,大型汽车,330302000032,瓯江一桥桥面,由南向北,13,10,10,6,12,20,37,44,58,45,63,38,47,47,57,42,63,48,58,35,35,32,20,21
1,鹿城区,大型汽车,330302000034,飞霞南路三板桥,由北向南,16,10,7,9,10,23,56,75,80,72,86,74,70,72,66,77,76,83,93,76,44,44,42,25
1,鹿城区,大型汽车,330302000034,飞霞南路三板桥,由南向北,12,15,5,5,18,18,52,82,95,96,92,82,70,71,68,86,84,90,104,78,62,53,27,33
1,鹿城区,大型汽车,330302000038,锦绣路农贸市场,由北向南,3,2,3,4,3,10,55,60,56,44,43,46,46,44,44,35,45,58,46,24,17,9,11,8
1,鹿城区,大型汽车,330302000038,锦绣路农贸市场,由南向北,7,9,3,7,4,23,47,61,60,59,62,51,46,50,58,58,55,58,39,32,19,21,26,12
1,鹿城区,大型汽车,330302000076,江滨路东明路,由东向西,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
1,鹿城区,大型汽车,330302000076,江滨路东明路,由西向东,5,7,3,0,2,1,4,24,25,27,26,18,11,15,16,27,5,24,29,9,22,25,12,11
1,鹿城区,大型汽车,330302000078,江滨路府东路,由西向东,1,0,2,1,0,5,9,20,29,19,25,11,11,14,23,23,19,10,22,16,4,13,7,7
1,鹿城区,大型汽车,330302000079,江滨路车站大道,由南向北,0,0,0,0,0,0,0,6,5,0,1,1,2,4,8,4,9,12,0,0,0,0,1,0
1,鹿城区,大型汽车,330302000080,江滨路汤家桥,由东向西,0,0,0,0,0,0,15,17,21,14,13,21,22,21,18,19,6,3,1,0,0,0,0,0
1,鹿城区,大型汽车,330302000111,勤奋路河通锦园前,由北向南,1,0,0,0,1,11,26,44,36,35,30,27,30,20,27,34,39,37,41,35,30,23,15,8
1,鹿城区,大型汽车,330302000111,勤奋路河通锦园前,由南向北,1,0,0,1,2,10,12,19,21,8,15,21,12,11,13,9,16,20,31,27,18,21,10,0
1,鹿城区,大型汽车,330302000141,临江镇西洲村,由东向西,20,19,11,16,26,17,13,14,13,11,15,19,15,13,15,9,17,10,21,19,19,27,13,19
1,鹿城区,大型汽车,330302000141,临江镇西洲村,由西向东,5,9,5,3,1,5,16,16,19,19,20,17,23,33,17,19,16,22,37,25,20,14,11,11
1,鹿城区,大型汽车,330302000152,DX小高桥乘凉桥口,由西向东,0,0,0,0,0,0,1,3,1,0,4,1,2,3,1,1,5,4,8,0,7,2,3,3
1,鹿城区,大型汽车,330302000175,330国道13KM+500M,由东向西,15,15,6,8,6,31,38,8,14,5,12,14,14,15,12,23,13,9,3,1,14,12,13,12
1,鹿城区,大型汽车,330302000175,330国道13KM+500M,由西向东,25,20,26,23,32,58,62,14,17,6,13,11,10,16,14,14,15,9,14,6,18,43,20,23
1,鹿城区,大型汽车,330302000177,330国道21KM+350M,由东向西,55,55,33,25,21,36,51,14,9,11,15,17,13,19,13,23,18,17,31,25,37,62,50,67
1,鹿城区,大型汽车,330302000177,330国道21KM+350M,由西向东,47,31,39,37,58,83,63,14,11,22,15,18,12,13,15,14,14,10,7,13,45,64,40,49
1,鹿城区,大型汽车,330302000182,DX温州大道惠民路路口,由东向西,1,1,0,1,0,12,39,47,82,73,62,56,58,62,46,55,33,32,53,30,19,18,7,3
1,鹿城区,大型汽车,330302000182,DX温州大道惠民路路口,由北向南,1,1,0,0,3,8,12,22,10,17,11,14,15,15,16,10,14,25,26,8,14,7,7,2
1,鹿城区,大型汽车,330302000182,DX温州大道惠民路路口,由西向东,0,0,0,0,0,1,30,41,42,33,36,32,29,26,47,43,47,44,18,3,2,1,1,0
1,鹿城区,大型汽车,330302000183,DX温州大道府东路路口,由东向西,4,2,1,1,1,5,23,41,65,53,48,46,33,32,23,32,12,5,43,37,29,26,16,4
1,鹿城区,大型汽车,330302000183,DX温州大道府东路路口,由北向南,2,0,2,0,0,2,7,31,20,16,17,10,11,8,11,19,17,20,11,4,6,8,13,5
1,鹿城区,大型汽车,330302000183,DX温州大道府东路路口,由西向东,7,6,6,3,3,15,72,99,113,82,87,76,87,82,73,82,59,76,63,35,40,19,14,11
1,鹿城区,大型汽车,330302000184,勤奋雪山路口,由东向西,8,1,1,0,1,2,17,17,31,22,16,18,13,8,19,17,3,12,25,19,29,21,16,8
1,鹿城区,大型汽车,330302000184,勤奋雪山路口,由北向南,0,0,0,0,0,16,41,35,33,38,32,28,27,21,32,31,30,35,22,21,24,21,10,2
1,鹿城区,大型汽车,330302000184,勤奋雪山路口,由南向北,0,0,0,0,1,4,9,14,12,10,13,9,5,11,8,11,12,8,6,6,7,3,2,0
1,鹿城区,大型汽车,330302000184,勤奋雪山路口,由西向东,1,0,0,0,0,2,19,30,44,30,20,28,23,21,27,24,26,28,19,37,13,20,7,4
1,鹿城区,大型汽车,330302000185,DX锦绣路惠民路路口,由东向西,1,2,0,1,1,5,24,40,44,48,36,34,24,17,15,29,2,6,38,29,25,18,8,4
1,鹿城区,大型汽车,330302000185,DX锦绣路惠民路路口,由北向南,1,0,1,2,4,12,40,44,48,53,47,38,40,40,35,45,46,42,37,25,13,17,5,4
1,鹿城区,大型汽车,330302000185,DX锦绣路惠民路路口,由西向东,7,11,2,1,4,10,35,17,21,28,16,23,17,18,20,15,15,17,27,24,17,8,16,10
1,鹿城区,大型汽车,330302000186,DX车站大道学院路路口,由东向西,2,1,0,1,0,5,13,19,21,16,24,27,19,14,11,9,4,13,26,19,14,9,3,4
1,鹿城区,大型汽车,330302000186,DX车站大道学院路路口,由北向南,3,3,0,0,4,2,25,36,34,32,26,20,15,5,19,20,15,24,36,40,20,16,13,2
1,鹿城区,大型汽车,330302000186,DX车站大道学院路路口,由南向北,2,3,0,3,0,10,29,45,63,60,40,35,36,38,40,41,62,54,46,28,23,17,15,4
1,鹿城区,大型汽车,330302000186,DX车站大道学院路路口,由西向东,1,0,0,2,1,1,12,21,25,18,17,19,15,18,18,23,17,13,19,14,8,9,27,4
1,鹿城区,大型汽车,330302000187,DX车站大道市府路路口,由东向西,5,1,1,0,1,4,9,19,24,14,19,12,13,13,10,9,6,20,16,10,4,8,2,2
1,鹿城区,大型汽车,330302000187,DX车站大道市府路路口,由北向南,1,1,0,0,1,4,18,22,22,14,14,17,10,15,14,18,14,23,18,6,6,9,7,3
1,鹿城区,大型汽车,330302000187,DX车站大道市府路路口,由南向北,0,0,0,0,0,6,37,37,45,38,30,40,37,35,35,24,26,38,41,20,9,17,4,4
1,鹿城区,大型汽车,330302000187,DX车站大道市府路路口,由西向东,0,0,1,0,1,1,8,15,27,17,15,13,12,17,13,16,16,31,15,8,9,12,3,0
1,鹿城区,大型汽车,330302000188,过境公路宽带路口,由东向北,0,0,0,0,0,1,7,12,10,5,11,5,6,9,5,13,3,11,8,1,2,1,0,0
1,鹿城区,大型汽车,330302000188,过境公路宽带路口,由东向南,9,3,2,1,3,28,90,91,94,105,106,84,78,86,89,86,87,79,80,59,40,38,19,8
1,鹿城区,大型汽车,330302000188,过境公路宽带路口,由西向南,7,1,1,1,2,4,23,52,49,57,47,36,24,32,39,46,48,59,40,18,19,17,12,4
1,鹿城区,大型汽车,330302000189,DX新城大道府东路路口,由东向西,4,5,1,2,1,3,33,34,42,50,58,34,27,34,37,47,25,38,43,39,22,27,15,7
1,鹿城区,大型汽车,330302000189,DX新城大道府东路路口,由北向南,2,2,0,4,2,12,47,78,95,92,124,63,64,65,57,78,79,71,62,55,33,34,30,10
1,鹿城区,大型汽车,330302000189,DX新城大道府东路路口,由南向北,0,0,0,0,0,1,9,11,21,20,7,10,15,9,12,17,11,20,11,14,11,7,3,1
1,鹿城区,大型汽车,330302000189,DX新城大道府东路路口,由西向东,2,1,1,0,1,9,53,75,78,65,49,48,45,45,63,51,55,60,53,22,24,15,9,3
1,鹿城区,大型汽车,330302000221,DX城西街嘉会里巷口,由南向北,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0
1,鹿城区,大型汽车,330302000225,DX文华大厦西侧支路,由北向南,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
1,鹿城区,大型汽车,330302000225,DX文华大厦西侧支路,由南向北,0,0,0,0,0,0,0,5,4,2,4,0,2,4,1,0,7,9,9,3,2,0,4,0
1,鹿城区,大型汽车,330302000231,DX锦绣路府西路路口,由东向西,1,2,0,2,0,7,19,16,21,15,14,10,11,8,6,10,5,8,15,12,6,6,7,4
1,鹿城区,大型汽车,330302000231,DX锦绣路府西路路口,由南向北,0,0,0,0,1,1,4,4,13,7,3,3,5,4,6,3,8,8,2,4,6,0,0,0
1,鹿城区,大型汽车,330302000231,DX锦绣路府西路路口,由西向东,2,0,0,0,1,2,23,28,44,31,20,33,26,31,26,28,35,22,27,11,10,3,3,0
1,鹿城区,大型汽车,330302000237,DX百里东路解放街路口,由东向西,7,1,1,0,2,5,25,50,44,43,39,42,26,25,27,29,4,25,45,42,21,26,13,12
1,鹿城区,大型汽车,330302000237,DX百里东路解放街路口,由北向南,1,3,0,0,0,0,6,19,22,24,20,23,15,20,15,20,23,18,19,8,13,7,2,2
1,鹿城区,大型汽车,330302000237,DX百里东路解放街路口,由南向北,0,1,1,0,2,0,3,14,12,6,5,5,6,6,4,6,3,12,11,13,15,10,3,1
1,鹿城区,大型汽车,330302000237,DX百里东路解放街路口,由西向东,1,2,0,1,0,3,27,47,48,46,59,43,42,40,41,46,24,41,44,25,16,19,13,11
1,鹿城区,大型汽车,330302000240,七都大桥,由东向西,18,19,11,11,12,15,24,24,40,25,19,22,21,9,13,16,21,9,10,23,21,18,43,14
1,鹿城区,大型汽车,330302000240,七都大桥,由西向东,7,6,9,2,10,8,15,30,19,22,20,19,15,25,13,21,33,30,11,14,18,8,14,14
1,鹿城区,大型汽车,330302000257,XS温金路戴宅路路口,由东向西,0,0,0,0,0,5,4,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0
1,鹿城区,大型汽车,330302000258,DX百里西路信河街路口,由东向西,4,1,0,0,1,5,23,44,42,50,37,46,22,20,26,30,8,30,48,38,92,32,17,8
1,鹿城区,大型汽车,330302000258,DX百里西路信河街路口,由北向南,0,0,0,0,0,0,4,10,15,15,12,10,3,3,6,11,4,12,5,0,0,1,0,1
1,鹿城区,大型汽车,330302000258,DX百里西路信河街路口,由南向北,3,4,1,1,0,5,25,45,48,61,73,43,34,39,37,43,43,48,37,18,11,10,10,2
1,鹿城区,大型汽车,330302000258,DX百里西路信河街路口,由西向东,1,2,0,0,0,3,29,42,51,48,42,33,43,44,45,50,20,32,30,26,10,17,10,3
1,鹿城区,大型汽车,330302000269,DX翠微大道景山隧道内（变道抓拍）,由北向南,19,8,11,15,14,14,22,19,29,23,28,22,21,21,28,18,18,26,21,21,34,27,19,16
1,鹿城区,大型汽车,330302000269,DX翠微大道景山隧道内（变道抓拍）,由南向北,12,6,4,3,4,9,15,15,11,19,11,10,17,17,19,19,22,13,23,16,9,20,9,12
1,鹿城区,大型汽车,330302000283,DX鹿城路泰力路路口,由东向西,1,1,0,1,2,14,73,85,77,86,77,88,72,70,78,71,38,41,62,50,45,30,30,12
1,鹿城区,大型汽车,330302000283,DX鹿城路泰力路路口,由北向南,4,3,4,3,2,8,14,22,16,11,19,19,20,25,23,22,20,24,14,6,11,8,3,3
1,鹿城区,大型汽车,330302000283,DX鹿城路泰力路路口,由南向北,1,0,0,0,2,18,82,80,85,77,62,68,77,75,73,81,80,78,64,45,25,25,26,6
1,鹿城区,大型汽车,330302000283,DX鹿城路泰力路路口,由西向东,0,0,0,0,0,2,0,2,0,0,1,0,2,0,2,0,0,1,1,0,2,0,0,1
1,鹿城区,大型汽车,330302000287,DX鞋都大道富士达路路口,由东向南,1,1,0,1,3,3,8,13,9,7,20,14,10,15,13,19,18,11,3,2,3,0,2,0
1,鹿城区,大型汽车,330302000287,DX鞋都大道富士达路路口,由东向西,8,2,0,1,3,10,17,28,40,32,24,27,26,21,25,22,26,32,35,28,19,25,28,9
1,鹿城区,大型汽车,330302000287,DX鞋都大道富士达路路口,由北向南,4,1,1,0,2,16,35,30,36,33,38,24,31,22,29,27,23,34,23,17,7,11,12,2
1,鹿城区,大型汽车,330302000287,DX鞋都大道富士达路路口,由西向东,0,0,0,0,0,0,0,0,0,0,20,39,31,34,38,34,25,29,35,9,17,21,14,10
1,鹿城区,大型汽车,330302000287,DX鞋都大道富士达路路口,由西向南,3,0,0,0,1,0,8,7,15,8,11,11,10,9,8,15,9,5,5,7,3,1,2,3
1,鹿城区,大型汽车,330302000293,DX-G330国道临江东街交叉口,由东向西,0,9,2,1,3,4,33,24,35,31,36,32,26,33,23,20,20,12,23,9,11,7,7,7
1,鹿城区,大型汽车,330302000301,DX锦绣路飞霞南路路口,由东向西,7,3,1,3,0,15,33,71,70,67,78,59,59,59,61,55,58,57,58,38,31,30,24,10
1,鹿城区,大型汽车,330302000301,DX锦绣路飞霞南路路口,由北向南,5,2,1,0,1,4,22,46,50,39,39,36,28,19,30,32,27,47,59,51,36,37,36,12
1,鹿城区,大型汽车,330302000301,DX锦绣路飞霞南路路口,由西向东,1,0,0,0,0,1,19,30,25,21,13,18,11,22,21,23,8,27,17,10,4,4,9,1
1,鹿城区,大型汽车,330302000302,DX锦江路惠民路路口,由东向西,2,0,0,0,0,2,10,9,18,18,11,13,8,6,10,6,2,7,17,10,5,0,5,1
1,鹿城区,大型汽车,330302000302,DX锦江路惠民路路口,由北向南,2,1,0,0,0,8,24,55,44,38,31,34,30,22,32,30,46,50,40,126,5,4,9,3
1,鹿城区,大型汽车,330302000302,DX锦江路惠民路路口,由南向北,2,8,2,3,1,6,34,30,51,60,46,35,38,30,32,27,41,35,29,21,13,1,8,1
1,鹿城区,大型汽车,330302000302,DX锦江路惠民路路口,由西向东,0,0,0,0,1,2,16,23,28,22,17,17,17,19,22,11,12,16,11,11,3,3,2,0
1,鹿城区,大型汽车,330302000303,DX汤家桥北路汇源路路口,由东向西,0,0,0,0,0,1,4,14,27,13,6,12,14,7,2,11,0,3,8,4,4,3,3,0
1,鹿城区,大型汽车,330302000303,DX汤家桥北路汇源路路口,由北向南,0,0,0,0,0,0,0,2,5,3,5,1,1,0,0,0,2,0,1,0,1,1,0,0
1,鹿城区,大型汽车,330302000303,DX汤家桥北路汇源路路口,由南向北,2,0,1,0,0,1,5,12,12,19,9,12,16,7,12,12,12,26,19,11,11,9,6,1
1,鹿城区,大型汽车,330302000304,DX汤家桥北路新浦路路口,由东向西,0,0,0,0,0,0,4,15,12,13,11,5,7,5,7,5,1,0,3,2,1,2,0,0
1,鹿城区,大型汽车,330302000304,DX汤家桥北路新浦路路口,由北向南,1,0,0,0,0,2,4,17,24,15,16,7,7,3,4,7,7,9,11,12,10,5,1,0
1,鹿城区,大型汽车,330302000304,DX汤家桥北路新浦路路口,由南向北,3,0,0,0,0,3,30,37,41,51,37,40,34,39,27,38,37,42,25,12,12,10,2,0
1,鹿城区,大型汽车,330302000304,DX汤家桥北路新浦路路口,由西向东,0,0,0,0,0,0,4,7,6,11,4,6,10,9,8,9,7,7,8,5,5,2,1,0
1,鹿城区,大型汽车,330302000305,DX汤家桥北路学院路路口,由东向西,0,0,0,0,1,1,22,25,26,21,17,12,8,10,3,5,2,1,6,5,2,0,1,2
1,鹿城区,大型汽车,330302000305,DX汤家桥北路学院路路口,由北向南,0,0,0,0,5,1,7,7,10,7,4,0,3,2,2,3,8,6,3,3,4,5,5,1
1,鹿城区,大型汽车,330302000305,DX汤家桥北路学院路路口,由南向北,1,0,0,0,0,2,3,3,5,12,1,2,6,3,6,2,4,17,5,8,9,6,0,4
1,鹿城区,大型汽车,330302000305,DX汤家桥北路学院路路口,由西向东,3,1,3,5,2,4,22,48,67,39,41,31,53,45,49,45,54,47,57,57,43,44,17,10
1,鹿城区,大型汽车,330302000312,望江路广化桥路口,由南向北,3,0,0,1,3,4,8,15,10,7,10,5,7,10,12,8,9,10,11,14,10,5,4,3
